Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
29-06-2021,560.5,560.5,544.45,546.7,550.66,13700,740,7544056,3282,23.96,16.05,-13.8
28-06-2021,558.65,559,550.95,552,554.31,12817,627,7104631,2865,22.35,8.05,-6.65
25-06-2021,567.5,571,552.75,555.3,563.65,18990,1153,10703767,7897,41.58,18.25,-12.2
24-06-2021,557.5,575.8,555.1,567.25,565,61687,2616,34853033,22377,36.28,20.7,9.75
23-06-2021,549.6,569.3,545.3,558.55,554.93,42977,1765,23849215,8555,19.91,24,8.95
22-06-2021,552,564.45,546,549.35,555.81,14120,977,7847995,3817,27.03,18.45,-2.65
21-06-2021,550,553.15,540.4,549.85,550.33,63560,1443,34978826,13328,20.97,12.75,-0.15
18-06-2021,555,558.2,530,554.05,543.39,25729,1368,13980900,4106,15.96,28.2,-0.95
17-06-2021,540.05,559.8,540.05,556.65,550.06,46366,1614,25504306,21585,46.55,19.75,16.6
16-06-2021,562.3,562.3,545,550.9,554.42,37182,1658,20614624,8332,22.41,17.3,-11.4
15-06-2021,554,562.95,551.4,556.55,556.4,38444,1347,21390329,14709,38.26,11.55,2.55
14-06-2021,565,565.35,546,555.05,554.01,67020,2294,37129418,15643,23.34,19.35,-9.95
11-06-2021,571.6,574.5,562.7,568.65,568.92,31023,1470,17649680,6122,19.73,11.8,-2.95
10-06-2021,574.95,586,562,567.6,570.42,39618,1985,22598808,10694,26.99,24,-7.35
09-06-2021,594,594.5,559.8,566.9,581.97,123932,3420,72124632,15758,12.72,34.7,-27.1
08-06-2021,566,585,565.5,578.55,575.63,43888,2066,25263339,9964,22.7,19.5,12.55
07-06-2021,558.8,568.45,540.75,562.75,561.89,41234,2396,23168878,20299,49.23,27.7,3.95
04-06-2021,568.95,568.95,551,553.35,556.27,32766,2652,18226900,7326,22.36,17.95,-15.6
03-06-2021,550.7,569,550.65,562.55,560.89,65404,4584,36684453,34045,52.05,18.35,11.85
02-06-2021,540.95,558,536,550.8,546.13,15025,964,8205546,3859,25.68,22,9.85
01-06-2021,548,548,538.75,541.3,542.97,12122,825,6581859,2453,20.24,9.25,-6.7
31-05-2021,557.45,557.55,535.35,538.75,540.89,20739,1439,11217557,5597,26.99,22.2,-18.7
28-05-2021,567.85,569.7,515.3,543.9,552.71,24589,1254,13590647,6723,27.34,54.4,-23.95
27-05-2021,567.95,572.55,555.85,560.95,562.41,19269,999,10837038,6436,33.4,16.7,-7
26-05-2021,534,566.9,534,559.2,555.23,66172,3568,36740768,27588,41.69,32.9,25.2
25-05-2021,546.25,547.15,536,537.95,543.34,7642,473,4152180,1675,21.92,11.15,-8.3
24-05-2021,535,549.2,531.4,540.95,538.02,27947,1517,15035953,11873,42.48,17.8,5.95
21-05-2021,549.95,549.95,533.6,536.55,540.3,12421,758,6711062,3826,30.8,16.35,-13.4
20-05-2021,547.3,556.2,540,545.7,549.61,48861,1496,26854415,12249,25.07,16.2,-1.6
19-05-2021,544.95,554.55,540,542.3,546.34,28072,1211,15336857,5114,18.22,14.55,-2.65
18-05-2021,540.95,559.35,538,544.95,548.23,42108,1474,23084837,5586,13.27,21.35,4
17-05-2021,527.15,539.05,527.15,536.45,534.33,16876,867,9017277,5393,31.96,11.9,9.3
14-05-2021,538,550.5,525,526.85,540.06,35846,1723,19358886,8737,24.37,25.5,-11.15
12-05-2021,534.05,544.15,533,534.95,539.11,17123,958,9231120,6470,37.79,11.15,0.9
11-05-2021,536,544,532,540.7,540.3,15442,816,8343251,7351,47.6,12,4.7
10-05-2021,535,541.45,531.75,535.75,536.38,26889,993,14422599,3553,13.21,9.7,0.75
07-05-2021,535,547.3,526.4,530.8,539.11,42890,1557,23122282,10233,23.86,20.9,-4.2
06-05-2021,534.65,535,526.3,533.5,530.67,15402,485,8173346,3047,19.78,8.7,-1.15
05-05-2021,537,537,524,532.05,529.47,14041,976,7434271,6926,49.33,13,-4.95
04-05-2021,545,546.05,527.3,537.45,536.5,50510,1653,27098497,14696,29.1,18.75,-7.55
03-05-2021,542.5,544.35,533,541.75,540.51,21753,596,11757671,3895,17.91,11.35,-0.75
30-04-2021,545.5,554,539,546.2,546.58,35391,921,19344130,3887,10.98,15,0.7
29-04-2021,544,560,540,545.5,548.92,47139,1715,25875322,21136,44.84,20,1.5
28-04-2021,599.7,599.7,535.2,542.15,548.04,117101,5284,64175687,60822,51.94,64.5,-57.55
27-04-2021,601.85,602,585.45,592.65,596.38,74562,2388,44467068,10187,13.66,16.55,-9.2
26-04-2021,600.1,605,588,596.25,597.03,75523,2454,45089610,7344,9.72,17,-3.85
23-04-2021,576.1,607.1,576.1,599.2,591.04,109514,2523,64727316,28954,26.44,31,23.1
22-04-2021,590.05,606.4,576.2,584.2,595.48,47510,1930,28291389,12006,25.27,30.2,-5.85
20-04-2021,598,606.95,581,595.55,588.07,102052,2361,60014139,8160,8,25.95,-2.45
19-04-2021,555.3,586,555,576.7,567.9,89792,1827,50993249,13841,15.41,31,21.4
16-04-2021,550,595,550,585.15,562,53250,2319,29926335,10841,20.36,45,35.15
15-04-2021,555,556.15,535,547.4,541.25,12343,724,6680639,1417,11.48,21.15,-7.6
13-04-2021,554.05,569.15,547,552.9,560.18,58516,1882,32779513,15318,26.18,22.15,-1.15
12-04-2021,560,578,540,557.2,551.86,87200,3151,48122554,26119,29.95,38,-2.8
09-04-2021,583,591.95,574.15,583.3,579.15,47906,1390,27744824,4866,10.16,17.8,0.3
08-04-2021,577,584.25,565,574.5,577.3,62751,1545,36225839,5307,8.46,19.25,-2.5
07-04-2021,567.05,584,567.05,571.85,575.33,69023,2227,39710901,6159,8.92,16.95,4.8
06-04-2021,589.95,589.95,566.15,569.55,576.23,62228,2551,35857342,4657,7.48,23.8,-20.4
05-04-2021,572,592.15,569.65,575,576.5,31841,1582,18356474,6847,21.5,22.5,3
01-04-2021,584.9,602.2,580.1,595.4,594.83,28105,857,16717633,7546,26.85,22.1,10.5
31-03-2021,586,595.6,572.5,580.2,590.06,102984,1235,60767054,79468,77.17,23.1,-5.8
30-03-2021,567,590.75,565.3,582.95,571.54,128067,1147,73195785,95199,74.34,25.45,15.95
26-03-2021,555,567.55,551.55,559.35,556.01,88356,2169,49126839,10067,11.39,16,4.35
25-03-2021,571.55,579.3,539,553.55,554.91,176989,3440,98212166,14598,8.25,40.3,-18
24-03-2021,592,596.45,569,577.8,577.96,88632,2438,51226054,13857,15.63,27.45,-14.2
23-03-2021,569.3,616.25,569.3,593.6,602.51,36625,926,22066889,3996,10.91,46.95,24.3
22-03-2021,601.05,614.6,595,601.8,600.52,150487,1491,90371001,4742,3.15,19.6,0.75
19-03-2021,612.5,617.5,579,601.1,597.95,24733,1046,14789069,6715,27.15,38.5,-11.4
18-03-2021,624.65,658.45,601.4,612.1,628.8,130360,2632,81970539,16818,12.9,57.05,-12.55
17-03-2021,643.9,650.55,615,620.4,629.54,11341,610,7139557,4109,36.23,35.55,-23.5
16-03-2021,633,657.7,632,638.25,641.19,15191,774,9740352,5796,38.15,25.7,5.25
15-03-2021,652,656.35,632.5,642.65,640.27,25702,1115,16456239,13918,54.15,23.85,-9.35
12-03-2021,642,673.7,642,653.6,656.87,15152,837,9952868,3224,21.28,31.7,11.6
10-03-2021,647,657.9,640,643.1,644.79,68662,1218,44272683,53170,77.44,17.9,-3.9
09-03-2021,669.05,671,642.4,647,654.58,16474,711,10783532,5311,32.24,28.6,-22.05
08-03-2021,689,701.65,656.15,660.5,676.35,23513,1291,15903067,7318,31.12,45.5,-28.5
05-03-2021,698,712,654,669.4,688.31,80230,3796,55222979,37335,46.53,58,-28.6
04-03-2021,651,719,620.5,703.7,678.53,103708,4154,70368963,22547,21.74,98.5,52.7
03-03-2021,670,688.35,648.45,655.4,664.48,35460,2053,23562519,20753,58.52,39.9,-14.6
02-03-2021,695.05,710.45,661.1,673.2,680.48,31554,1465,21471829,8229,26.08,49.35,-21.85
01-03-2021,680,707.4,680,697.6,696.53,50625,2339,35261939,26085,51.53,27.4,17.6
26-02-2021,661.85,697,646.2,679.8,683.37,38777,1798,26499051,8764,22.6,50.8,17.95
25-02-2021,659.9,674.1,648,666.75,665.34,42878,2045,28528452,20785,48.47,26.1,6.85
24-02-2021,639.9,657,629.4,644.15,642.62,73121,2808,46988855,34557,47.26,27.6,4.25
23-02-2021,630,643,625.9,630.15,632.04,20638,998,13043996,5389,26.11,17.1,0.15
22-02-2021,592.05,629,584.7,622.9,612.14,74678,4135,45713675,30284,40.55,44.3,30.85
19-02-2021,562.05,590,553,583.9,576.29,44979,2438,25920984,23880,53.09,37,21.85
18-02-2021,561,577.95,555.5,566.05,568.81,12249,630,6967322,3395,27.72,22.45,5.05
17-02-2021,554.85,567.45,551.3,561,560.44,31009,1020,17378690,5534,17.85,16.15,6.15
16-02-2021,564.8,564.8,538.25,554.6,547.97,19496,860,10683255,6275,32.19,26.55,-10.2
15-02-2021,539.6,564.85,530,556.1,552.05,31043,1381,17137219,11149,35.91,34.85,16.5
12-02-2021,540,547.45,517.65,522.45,530.17,46702,2564,24760038,26117,55.92,29.8,-17.55
11-02-2021,487.15,542.95,487.15,536.35,525.77,46362,2344,24375619,15055,32.47,55.8,49.2
10-02-2021,491,496.8,479,485.2,487.11,17745,936,8643815,7464,42.06,17.8,-5.8
09-02-2021,507.7,519,482.35,491.05,505.45,30907,1551,15621808,11886,38.46,36.65,-16.65
08-02-2021,495.9,516.9,495.9,502.35,506.01,36728,1310,18584897,10407,28.34,21,6.45
05-02-2021,479.85,499,464.75,488.8,481.13,18806,827,9048205,8058,42.85,34.25,8.95
04-02-2021,490.1,496.95,475,479.85,486.76,48082,2058,23404236,20933,43.54,21.95,-10.25
03-02-2021,464.45,493.9,455,487.55,476,76945,3931,36625444,40611,52.78,38.9,23.1
02-02-2021,444.8,464,441.5,460.65,454.02,26809,1282,12171886,10898,40.65,22.5,15.85
01-02-2021,433,449.5,424.35,439.95,439.68,40738,1799,17911689,9821,24.11,25.15,6.95
29-01-2021,432,432,421,422.55,424.07,5263,318,2231867,3277,62.26,11,-9.45
28-01-2021,408,432,408,424.4,422.92,14273,925,6036408,8732,61.18,24,16.4
27-01-2021,409,426.7,406.4,419.5,416.08,4142,296,1723419,2140,51.67,20.3,10.5
25-01-2021,415.15,419.6,403,411.85,410.52,3481,155,1429014,1871,53.75,16.6,-3.3
22-01-2021,421.2,424.45,413.15,414.9,416.71,5472,305,2280245,3010,55.01,11.3,-6.3
21-01-2021,426.6,434.4,420,420.8,428.69,9815,477,4207599,5685,57.92,14.4,-5.8
20-01-2021,422.15,428.65,419.05,424.5,423.14,4965,305,2100906,3232,65.1,9.6,2.35
19-01-2021,416,424.15,416,419.9,420.63,5759,247,2422380,2444,42.44,8.15,3.9
18-01-2021,419,426.1,408.6,415,416.92,20269,851,8450650,14574,71.9,17.5,-4
15-01-2021,426.7,429.75,423.8,426.75,426.24,13903,819,5926019,10079,72.5,5.95,0.05
14-01-2021,424.75,429.8,422.4,427.45,427.04,3450,218,1473303,1908,55.3,7.4,2.7
13-01-2021,430,433,416.95,424.35,424.68,11935,550,5068537,3873,32.45,16.05,-5.65
12-01-2021,432,437.2,424.8,429.95,430.41,20094,805,8648632,10530,52.4,12.4,-2.05
11-01-2021,410.3,437.15,408,431.6,428.4,101169,3370,43340529,43992,43.48,29.15,21.3
08-01-2021,422.95,429,406.7,412,419.73,55260,2305,23194175,28328,51.26,22.3,-10.95
07-01-2021,396.2,424.7,392.05,417.4,415.03,86409,3863,35862033,21109,24.43,32.65,21.2
06-01-2021,392.65,397.6,389.3,391.4,392.46,3897,183,1529400,2307,59.2,8.3,-1.25
05-01-2021,399.95,399.95,390.55,391.95,393.91,3694,233,1455098,1964,53.17,9.4,-8
04-01-2021,398.85,402,393,395.25,397.5,19919,771,7917762,7125,35.77,9,-3.6
01-01-2021,396.55,396.9,393.2,395.8,394.63,3965,147,1564723,2512,63.35,3.7,-0.75
31-12-2020,393.75,398.2,390.7,392.45,393.5,5606,348,2205942,3562,63.54,7.5,-1.3
30-12-2020,392.5,398.6,388.6,394.55,393.25,12265,690,4823191,7212,58.8,10,2.05
29-12-2020,398,399.5,392.2,394,395.46,13129,647,5191975,8262,62.93,7.3,-4
28-12-2020,388.3,404,385.45,397.3,393.5,11381,597,4478388,6356,55.85,18.55,9
24-12-2020,388,390.95,377.6,388.05,387.27,28156,1143,10903853,18422,65.43,13.35,0.05
23-12-2020,368,384.2,365,382,374.95,20740,1106,7776395,8756,42.22,19.2,14
22-12-2020,363,373.8,341.6,359.85,355.12,31656,1650,11241572,11891,37.56,32.2,-3.15
21-12-2020,398,398,359.8,368.1,377.14,29364,1508,11074376,15956,54.34,38.2,-29.9
18-12-2020,396,401,387.6,396.15,394.21,4972,272,1960001,2300,46.26,13.4,0.15
17-12-2020,400,403.55,393.9,395.05,398.01,11522,672,4585862,7093,61.56,9.65,-4.95
16-12-2020,405.6,412.6,396.05,400.7,405.21,32641,1741,13226440,18827,57.68,16.55,-4.9
15-12-2020,389.6,406,383.2,399.2,394.9,20994,911,8290526,8140,38.77,22.8,9.6
14-12-2020,392,397.2,384.8,387.5,390.5,129478,944,50560863,103910,80.25,12.4,-4.5
11-12-2020,398,398,392.45,393.25,394.92,7345,384,2900708,3939,53.63,5.55,-4.75
10-12-2020,407.2,407.2,390.85,394.1,396,22222,1064,8799877,14965,67.34,16.35,-13.1
09-12-2020,409.25,412.1,405.4,408.05,407.98,15601,919,6364897,10556,67.66,6.7,-1.2
08-12-2020,415,417.05,399.55,409.05,407.66,35673,2155,14542378,20333,57,17.5,-5.95
07-12-2020,408.5,418.75,404.25,412.05,411.83,23950,1217,9863278,11307,47.21,14.5,3.55
04-12-2020,383,408,373.1,405,398.27,132601,5399,52811522,73718,55.59,34.9,22
03-12-2020,364.9,383.95,361,381.35,376.39,19109,1088,7192358,10280,53.8,22.95,16.45
02-12-2020,369,369,360.4,362.7,363.65,2925,188,1063663,1728,59.08,8.6,-6.3
01-12-2020,354.25,365.1,354.25,362.25,361.82,10344,695,3742658,6171,59.66,10.85,8
27-11-2020,354,363,352.75,355.8,357.88,5198,458,1860264,2695,51.85,10.25,1.8
26-11-2020,352,353.45,348.15,351.2,350.52,5931,527,2078929,3559,60.01,5.3,-0.8
25-11-2020,355,358.5,348.3,351.1,353.42,12452,736,4400748,6393,51.34,10.2,-3.9
24-11-2020,358.2,358.2,350.05,353.95,354.59,6768,365,2399853,4224,62.41,8.15,-4.25
23-11-2020,360,360,352.8,354.55,355.37,13544,862,4813182,9166,67.68,7.2,-5.45
20-11-2020,370.65,370.65,355,362.9,364.92,7565,427,2760619,4456,58.9,15.65,-7.75
19-11-2020,356.35,380,356.35,364.95,369.55,14579,1064,5387681,5038,34.56,23.65,8.6
